Year,Type,Count
2015,"Media relations: print media, online media",1347
2015,"Media relations: radio, television",457
2015,"New media (web, blogs, podcasts, news feeds etc.)",376
2015,Other activities,98
2015,"Print (books, brochures, leaflets)",145
2015,Software,18
2015,Start-up,14
2015,Talks/events/exhibitions,856
2015,Video/Film,62
2016,"Media relations: print media, online media",1262
2016,"Media relations: radio, television",412
2016,"New media (web, blogs, podcasts, news feeds etc.)",398
2016,Other activities,88
2016,"Print (books, brochures, leaflets)",160
2016,Software,31
2016,Start-up,16
2016,Talks/events/exhibitions,712
2016,Video/Film,72
2017,"Media relations: print media, online media",723
2017,"Media relations: radio, television",270
2017,"New media (web, blogs, podcasts, news feeds etc.)",200
2017,Other activities,46
2017,"Print (books, brochures, leaflets)",98
2017,Software,35
2017,Start-up,5
2017,Talks/events/exhibitions,406
2017,Video/Film,49
